University,supervisor,title,Duration
"University of California, Irvine",['Dr. Peter Navarro'],"Managing Your Time, Money, and Career: MBA Insights for Undergraduates",Indeterminate Duration
University of Wisconsin–Madison,['Randall Wright'],Markets with Frictions,Indeterminate Duration
University of Minnesota,"['James D. Van De Ven, PhD', 'Will Durfee, PhD']",Fundamentals of Fluid Power,Indeterminate Duration
Georgia Institute of Technology,"['Dr. Wayne Whiteman, PE']",Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,Indeterminate Duration
Wesleyan University,['Michael S. Roth'],The Modern and the Postmodern,Indeterminate Duration
The University of Edinburgh,"['Dr.  Dave Ward', 'Professor Duncan Pritchard', 'Dr. Michela Massimi', 'Dr. Suilin Lavelle', 'Dr. Matthew Chrisman', 'Dr. Allan Hazlett', 'Dr. Alasdair Richmond']",Introduction to Philosophy,Indeterminate Duration
Korea Advanced Institute of Science and Technology,['Bowon Kim'],Supply Chain Management: A Learning Perspective ,Indeterminate Duration
Johns Hopkins University,"['Debra JH Mathews, PhD, MA']","Engineering Life: Synbio, Bioethics & Public Policy",Indeterminate Duration
Tel Aviv University,"['Professor Oded  Lipschits, Ph.D.', 'Ido Koch']",The Fall and Rise of Jerusalem,Indeterminate Duration
The University of British Columbia,['Dr. Rosemary Redfield'],Useful Genetics Part 2,Indeterminate Duration
Georgia Institute of Technology,['Dr. Rosa I. Arriaga'],Introduction to User Interface Design (Part 1),Indeterminate Duration
The Ohio State University,['Abril Trigo'],Latin American Migration,Indeterminate Duration
Wesleyan University,"['Andrew Szegedy-Maszak, PhD']",The Ancient Greeks,Indeterminate Duration
University of Western Australia,"['Professor Carlos M. Duarte, BSc, PhD']",Ocean Solutions,Indeterminate Duration
California Institute of the Arts,['Stephan Koplowitz'],Creating Site-Specific Dance and Performance Works,Indeterminate Duration
The Ohio State University,"['Frederick Luis Aldama, Ph.D.', 'Paloma Martinez-Cruz, Ph.D.']",Latino Popular Culture for the Clueless,Indeterminate Duration
École Polytechnique Fédérale de Lausanne,['Friedrich Eisenbrand'],Linear and Discrete Optimization,Indeterminate Duration
"University of California, San Francisco","['Katie Ferraro, MPH, RD, CDE']",Nutrition for Health Promotion and Disease Prevention,Indeterminate Duration
University of Colorado Boulder & University of Colorado System,['Prof. William Kuskin'],Comic Books and Graphic Novels,Indeterminate Duration
"University of California, San Diego ","['Charles Kennel, PhD', 'Naomi Oreskes, PhD', 'Veerabhadran Ramanathan, PhD', 'Richard Somerville, PhD', 'Dr. David G. Victor']",Climate Change in Four Dimensions,Indeterminate Duration
Hebrew University of Jerusalem,['Dr. Yaakov Nahmias'],Introduction to Tissue Engineering,Indeterminate Duration
Case Western Reserve University,"['Mary A. Dolansky, PhD, RN', 'Shirley Moore, PhD, RN, FAAN', 'Mamta K Singh, MD, MS']",Take the Lead on Healthcare Quality Improvement,Indeterminate Duration
Johns Hopkins University,['Dr. Bob Lessick'],Bioinformatics: Life Sciences on Your Computer,Indeterminate Duration
University of Minnesota,"['Dr. Brent Hecht', 'Shashi Shekhar']",From GPS and Google Maps to Spatial Computing,Indeterminate Duration
Rice University,"['Lara Arch', 'Chris ""C. J."" Thompson', 'Lisa Webber', 'Dr. Jarrett Reid Whitaker', 'Dr. Terry K. Talley']",Inquiry Science Learning: Perspectives & Practices 4 - Student-Centered Inquiry,Indeterminate Duration
Columbia University,"['Vincent Racaniello, Ph.D.']",Virology I: How Viruses Work,Indeterminate Duration
University of Copenhagen,"['Dr Arne Astrup, MD, DMSc.']",The New Nordic Diet - from Gastronomy to Health ,Indeterminate Duration
Emory University,"['Kimberley Sessions Hagen, EdD']",AIDS,Indeterminate Duration
Princeton University,['Peter Singer'],Practical Ethics,Indeterminate Duration
Sciences Po,['Bruno Latour'],Scientific Humanities,Indeterminate Duration
Emory University,"['Deb Houry, MD, MPH', 'Pamela Scully, Ph.D.']",Understanding Violence,Indeterminate Duration
Vanderbilt University,"['Stephany Duda, PhD', 'Paul Harris, PhD', 'Firas  Wehbe, MD, PhD']",Data Management for Clinical Research,Indeterminate Duration
University of Virginia,['Philip Zelikow'],The Modern World: Global History since 1760,Indeterminate Duration
Wesleyan University,['Michael S. Roth'],How to Change the World,Indeterminate Duration
University of London,['Dr  Lorenzo Cavallaro'],Malicious Software and its Underground Economy: Two Sides to Every Story,Indeterminate Duration
Georgia Institute of Technology,['Dr. Mark Guzdial'],Designing Technology for Learning,Indeterminate Duration
Vanderbilt University,['Dr. Douglas C. Schmidt'],Pattern-Oriented Software Architectures for Concurrent and Networked Software,Indeterminate Duration
Emory University,"['Michael Kuhar, Ph.D.']",The Addicted Brain,Indeterminate Duration
The University of Edinburgh,"['Professor Sian Bayne', 'Jeremy Knox', 'Dr Hamish A. Macleod', 'Dr Jen Ross', 'Dr  Christine  Sinclair']",E-learning and Digital Cultures,Indeterminate Duration
Georgia Institute of Technology,"['Dr. Mark L. Braunstein, MD']",Contemporary Health Informatics,Indeterminate Duration
Johns Hopkins University,"['Dr. Jason Farley, PhD, MPH, CRNP', 'Dr.  Richard E. Chaisson, M.D.']",Global Tuberculosis (TB) Clinical Management and Research,Indeterminate Duration
Stanford University & The University of British Columbia,"['Matthew O. Jackson', 'Kevin Leyton-Brown', 'Yoav Shoham']",Game Theory,Indeterminate Duration
École Polytechnique Fédérale de Lausanne,['Martin Odersky'],Functional Programming Principles in Scala,Indeterminate Duration
Rice University,['Dr. Terry K. Talley'],Using The Next Generation Science Standards for Students’ Deeper Understanding ,Indeterminate Duration
University of Florida,['Dr. Dan Dickrell'],Structure Standing Still: The Statics of Everyday Objects,Indeterminate Duration
Copenhagen Business School,['Thomas Zoëga Ramsøy'],An Introduction to Consumer Neuroscience & Neuromarketing ,Indeterminate Duration
The Pennsylvania State University,['Anna Divinsky'],Introduction to Art: Concepts & Techniques,Indeterminate Duration
University of Toronto,['Charmaine Williams'],The Social Context of Mental Health and Illness,Indeterminate Duration
University of Oregon,"['Dr. Deborah Healey', 'Jeff Magoto', 'Dr. Elizabeth Hanson-Smith']","Shaping the Way We Teach English, 1: The Landscape of English Language Teaching",Indeterminate Duration
University of Copenhagen,"['Dr Ebrahim Afsah, M.Phil., MPA']",Constitutional Struggles in the Muslim World,Indeterminate Duration
Georgia Institute of Technology,['Dr. Jason A. Freeman'],Survey of Music Technology,Indeterminate Duration
Duke University,['Prof. Dorian A. Canelas'],Introduction to Chemistry,Indeterminate Duration
The Pennsylvania State University,['Dr. Richard B. Alley'],"Energy, the Environment, and Our Future",Indeterminate Duration
Stanford University,['Daphne Koller'],Probabilistic Graphical Models,Indeterminate Duration
Georgia Institute of Technology,['Dr. Gregory D. Abowd'],Introduction to User Interface Design (Part 2),Indeterminate Duration
University of Pennsylvania,['Mauro Guillén'],Analyzing Global Trends for Business and Society,Indeterminate Duration
Higher School of Economics,['Mira Bergelson'],Understanding Russians: Contexts of Intercultural Communication,Indeterminate Duration
Vanderbilt University,"['Jamie  Pope, MS, RD, LDN']","Nutrition, Health, and Lifestyle: Issues and Insights",Indeterminate Duration
University of Lausanne,"['Guido Palazzo', 'Ulrich Hoffrage']",Unethical Decision Making in Organizations,Indeterminate Duration
University of Washington,['Nathan Kutz'],Scientific Computing,Indeterminate Duration
Duke University,['Laurence R. Helfer'],International Human Rights Law: Prospects and Challenges,Indeterminate Duration
University of Washington,['Pedro Domingos'],Machine Learning,Indeterminate Duration
University of Zurich,['Paul-Olivier Dehaye'],Teaching goes massive: new skills required,Indeterminate Duration
Duke University,['Dr.  David W. Johnston'],Marine Megafauna: An Introduction to Marine Science and Conservation,Indeterminate Duration
University of Florida,"['Frederick S. Southwick, MD']",Fixing Healthcare Delivery,Indeterminate Duration
Higher School of Economics,['Boris Mirkin'],Core Concepts in Data Analysis,Indeterminate Duration
University of London,['Professor Diana  Laurillard'],ICT in Primary Education: Transforming children's learning across the curriculum,Indeterminate Duration
Rice University,['Don H. Johnson'],Fundamentals of Electrical Engineering Laboratory,Indeterminate Duration
Princeton University,['David Wentzlaff '],Computer Architecture,Indeterminate Duration
University of Florida,"['Wendell A. Porter, Ph.D., P.E.']","Global Sustainable Energy: Past, Present and Future",Indeterminate Duration
"University of California, Irvine",['Zuzana Bic'],Principles of Public Health,Indeterminate Duration
Princeton University,['Unknown Author'],"Networks: Friends, Money, and Bytes",Indeterminate Duration
Vanderbilt University & National Arts Strategies,"['David  A. Owens, PhD, PE', 'Jim Rosenberg']",Leading Innovation in Arts and Culture,Indeterminate Duration
University of London,"['Dr J Simon Rofe, SOAS, University of London', 'Dr Yenn Lee, SOAS, University of London']",Understanding Research Methods,Indeterminate Duration
The Chinese University of Hong Kong,"['Prof. Joseph Yam', 'Prof. Terence Tai-Leung Chong']",The Role of the Renminbi in the International Monetary System ,Indeterminate Duration
Tecnológico de Monterrey,['Phd Enrique Tamés'],Latin American Culture,Indeterminate Duration
Universiteit Leiden,['Edwin Bakker'],Terrorism and Counterterrorism: Comparing Theory and Practice,Indeterminate Duration
University of Colorado System,"['Dr.  Kathryn  Andrus', 'Dr. Roger Louis Martínez-Dávila']",Deciphering Secrets: Unlocking the Manuscripts of Medieval Spain,Indeterminate Duration
Georgia Institute of Technology,"['Dr. Wayne Whiteman, PE']",Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,Indeterminate Duration
University of Pennsylvania,"['Professor Kermit Roosevelt, III']",Introduction to Key Constitutional Concepts and Supreme Court Cases,Indeterminate Duration
Commonwealth Education Trust,"['Professor Dennis Francis', 'Professor John MacBeath']",Foundations of Teaching for Learning 2: Being a Teacher,Indeterminate Duration
"University of California, Irvine",['Michael Dennin'],Science from Superheroes to Global Warming,Indeterminate Duration
Icahn School of Medicine at Mount Sinai,"['Marc Birtwistle, PhD']",Experimental Methods in Systems Biology,Indeterminate Duration
The University of Edinburgh,"['Professor Mayank Dutia', 'Dr. Celine Caquineau']",Critical Thinking in Global Challenges,Indeterminate Duration
University of Washington,['Mike Simon'],Designing and Executing Information Security Strategies,Indeterminate Duration
Sciences Po,['Patrick Le Galès'],Cities are back in town,Indeterminate Duration
University of Colorado Boulder,"['Sriram Sankaranarayanan', 'Shalom D. Ruben']",Linear and Integer Programming,Indeterminate Duration
The University of British Columbia,"['Dr. Sarah Burch', 'Dr. Sara Harris']",Climate Literacy: Navigating Climate Change Conversations,Indeterminate Duration
The University of North Carolina at Chapel Hill,"['Professor Buck  Goldstein', 'Dr. Holden Thorp, PhD ']",What’s Your Big Idea?,Indeterminate Duration
University of London,['Dr Simon  Green'],Why We Need Psychology,Indeterminate Duration
The University of North Carolina at Chapel Hill,['Dr. Evan Feldman'],Fundamentals of Rehearsing Music Ensembles,Indeterminate Duration
University of Copenhagen,"['Henning Haack, PhD']","Origins - Formation of the Universe, Solar System, Earth and Life",Indeterminate Duration
University of Houston System,"['Dr. Jeffrey J Morgan', 'Rebecca George']",Preparing for the AP* Calculus AB and BC Exams,Indeterminate Duration
"University of California, San Francisco","['Jody Steinauer, MD, MAS']",Abortion: Quality Care and Public Health Implications,Indeterminate Duration
Georgia Institute of Technology,"['Christopher M. Lee, Ph.D', 'Arthur R Murphy', 'Carolyn Patricia Phillips, M.Ed., ATP', 'Sheryl Ballenger', 'Norah Sinclair', 'Todd Runkle', 'Bill Curtis-Davidson']",Information and Communication Technology (ICT) Accessibility ,Indeterminate Duration
"University of California, San Diego ","['Williams S. Ettouati, Pharm.D.', 'Joseph D. Ma']","Drug Discovery, Development & Commercialization ",Indeterminate Duration
Rice University,"['Joe Warren', 'Scott Rixner', 'John Greiner', 'Stephen Wong']",An Introduction to Interactive Programming in Python,Indeterminate Duration
University of Illinois at Urbana-Champaign,"['Bruce W. Fouke, Ph.D.']",Emergence of Life,Indeterminate Duration
Stanford University,['Laura Arrillaga-Andreessen'],Giving 2.0: The MOOC,Indeterminate Duration
Georgia Institute of Technology,['Dr. Sam Shelton'],Energy 101: The Big Picture,Indeterminate Duration
The Hong Kong University of Science and Technology,['Naubahar Sharif'],"Science, Technology, and Society in China III: The Present & Policy Implications",Indeterminate Duration
Wesleyan University,['Dr. Petra Bonfert-Taylor'],Analysis of a Complex Kind,Indeterminate Duration
University of Minnesota,"['Karen  Monsen, Ph.D., RN, FAAN']",Interprofessional Healthcare Informatics ,Indeterminate Duration
University of Rochester,['Mark Wilson'],"Technology Commercialization, Part 1: Setting up your Idea Filtering System",Indeterminate Duration
Vanderbilt University,"['Derek Bruff', 'Trina  McMahon', 'Bennett  Goldberg', 'Henry (Rique)  Campa, III']",An Introduction to Evidence-Based Undergraduate STEM Teaching,Indeterminate Duration
The University of Edinburgh,"['Professor Matthias Schwannauer', 'Dr Stella Chan', 'Dr Emily Taylor, D Clin Psych', 'Dr Joanne Williams']",The Clinical Psychology of Children and Young People,Indeterminate Duration
Higher School of Economics,['Marek Dabrowski'],Economics of Transition and Emerging Markets,Indeterminate Duration
State University of New York,"['Dr.  Margaret Anne Schedel', 'Mr. Timothy James Vallier']",Introduction to Computational Arts: Processing,Indeterminate Duration
Curtis Institute of Music,"['Jonathan  Coopersmith', 'David Ludwig']",From the Repertoire: Western Music History through Performance,Indeterminate Duration
Curtis Institute of Music,"['Arnold Steinhardt', 'Dr. Mia Chung']",The World of the String Quartet,Indeterminate Duration
State University of New York,"['Dr.  Margaret Anne Schedel', 'Catherine Katsafouros']",Introduction to Computational Arts: Visual Arts,Indeterminate Duration
University of Toronto,"['Alison Gibbs', 'Jeffrey Rosenthal']",Statistics: Making Sense of Data,Indeterminate Duration
Match Teacher Residency,['Mr.  Orin  Gutlerner'],On the Hunt for Feedback: Self-Directed Teacher Improvement,Indeterminate Duration
Rice University,['Don H. Johnson'],Fundamentals of Electrical Engineering,Indeterminate Duration
California Institute of the Arts,"['Jeannene Przyblyski, Ph.D.']","Live!:  A History of Art for Artists, Animators and Gamers",Indeterminate Duration
Brown University,['Arnold Weinstein'],The Fiction of Relationship,Indeterminate Duration
The University of North Carolina at Chapel Hill,['Dr. William  Ferris'],"The American South: Its Stories, Music, and Art",Indeterminate Duration
Johns Hopkins University,"['Roger D. Peng, PhD']",Computing for Data Analysis,Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU),"['Hannes Leitgeb', 'Stephan Hartmann']",Introduction to Mathematical Philosophy,Indeterminate Duration
University of Pennsylvania,"['Gary Hack', 'Jonathan Barnett', 'Stefan Al']",Designing Cities,Indeterminate Duration
Stanford University,"['Balaji S. Srinivasan', 'Vijay S. Pande']",Startup Engineering,Indeterminate Duration
"University of California, San Diego ",['Scott  Klemmer'],Human-Computer Interaction,Indeterminate Duration
École Polytechnique Fédérale de Lausanne,"['Jean-Cédric Chappelier', 'Jamila Sam']",Initiation à la programmation (en C++),Indeterminate Duration
Università Bocconi,"['Erica Corbellini', 'Stefania Saviolo']",Managing Fashion and Luxury Companies,Indeterminate Duration
University of Minnesota,['Dr. Jason Hill'],Sustainability of Food Systems: A Global Life Cycle Perspective,Indeterminate Duration
Indian Institute of Technology Delhi,['Dr. Gautam Shroff'],Web Intelligence and Big Data,Indeterminate Duration
Princeton University,['Robert Wright'],Buddhism and Modern Psychology ,Indeterminate Duration
Yale University,['Robert Shiller'],Financial Markets,Indeterminate Duration
University of Minnesota,"['Michael  Oakes, PhD']",Social Epidemiology,Indeterminate Duration
University of Houston System,['Arturo E.  Hernandez'],The Bilingual Brain,Indeterminate Duration
Rice University,"['Professor Vicki Colvin', 'Daniel Mittleman']",Nanotechnology: The Basics,Indeterminate Duration
University of Washington,['Bill Howe'],Introduction to Data Science,Indeterminate Duration
New Teacher Center,"['Ellen Moir', 'Lynn Kepp']",First Year Teaching (Elementary Grades) - Success from the Start,Indeterminate Duration
UNSW Australia (The University of New South Wales),"['Prof. Joe Wolfe', 'Dr Elizabeth  J.  Angstmann', 'Mr Sebastian Fricke']","Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets",Indeterminate Duration
Caltech,['Antonio Rangel'],Principles of Economics for Scientists,Indeterminate Duration
University of Colorado Boulder & University of Colorado System,['Dr. Michael Dubson'],Physics 1 for Physical Science Majors,Indeterminate Duration
University of Virginia,"['Dr. Bridget K. Hamre', 'Ms. Grace W. Funk', 'Ms. Allison P. Leach', 'Dr. Kathy Neesen', 'Ms. Sarah V. Lydic']",Effective Classroom Interactions: Supporting Young Children’s Development,Indeterminate Duration
University of Wisconsin–Madison,"['Kris Olds', 'Susan L. Robertson']",Globalizing Higher Education and Research for the ‘Knowledge Economy’,Indeterminate Duration
University of Pennsylvania,"['Ezekiel J. Emanuel, MD, PhD']",Rationing and Allocating Scarce Medical Resources,Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU),['Barbara Conradt'],Programmed cell death,Indeterminate Duration
University of Pittsburgh,['Larry Foulke'],A Look at Nuclear Science and Technology,Indeterminate Duration
University of Washington,['Dan  Grossman'],Programming Languages,Indeterminate Duration
McMaster University,['Kevin Dunn'],Experimentation for Improvement,Indeterminate Duration
University of Pennsylvania,"['John Hogenesch', 'John  Isaac  Murray']",Experimental Genome Science,Indeterminate Duration
The University of Edinburgh,['Dr Glyn Davis'],Warhol,Indeterminate Duration
University of Rochester,['Mark Zupan'],The Power of Markets,Indeterminate Duration
University of Rochester,['John Covach'],"History of Rock, Part Two",Indeterminate Duration
University of Geneva,"['Gilbert Probst', 'Sebastian Buckup', 'Julian Fleet', 'Bruce Jenks', 'Stephan Mergenthaler', 'Cassandra Quintanilla', 'Lea Stadtler', 'Claudia Gonzalez Romo']",International Organizations Management,Indeterminate Duration
HEC Paris,['Rodolphe Durand'],"Time to Reorganize! Understand Organizations, Act, and Build a Meaningful World.",Indeterminate Duration
The Pennsylvania State University,['Mr. Tim R Robicheaux'],Presumed Innocent? The Social Science of Wrongful Conviction,Indeterminate Duration
The Chinese University of Hong Kong,['Prof. Ou Fan Leo Lee ???'],Classics of Chinese Humanities: Guided Readings,Indeterminate Duration
University of Michigan,"['Matthew Davis, M.D., M.A.P.P.']",Understanding and Improving the US Healthcare System,Indeterminate Duration
Johns Hopkins University,['Kevin Frick'],Principles of Obesity Economics,Indeterminate Duration
Duke University,['David Schanzer'],9/11 and Its Aftermath -- Part I,Indeterminate Duration
Università Bocconi,['Stefano Gatti'],Financing and Investing in Infrastructure,Indeterminate Duration
Caltech,"['Henry A. Lester, PhD']",Drugs and the Brain,Indeterminate Duration
University of Houston System,['Rebecca George'],Preparing for the AP* Statistics Exam,Indeterminate Duration
Georgia Institute of Technology,"['Dr. Mark L. Braunstein, MD']",Health Informatics in the Cloud,Indeterminate Duration
University of Illinois at Urbana-Champaign,['Lawrence Angrave'],"Creative, Serious and Playful Science of Android Apps",Indeterminate Duration
University of Colorado System,['Michael J. Orlando'],Fundamentals of Global Energy Business,Indeterminate Duration
National Geographic Society,['Kathleen  Schwille'],FLOW Education: Facilitating Learning through Outdoor Watershed Education,Indeterminate Duration
Universiteit Leiden,['Madeleine Hosli'],The Changing Global Order,Indeterminate Duration
Rice University,"['Lara Arch', 'Chris ""C. J."" Thompson', 'Lisa Webber', 'Dr. Jarrett Reid Whitaker', 'Dr. Terry K. Talley']",Inquiry Science Learning: Perspectives and Practices 2 - Techniques for Success,Indeterminate Duration
Duke University,['Dr. Mohamed Noor'],Introduction to Genetics and Evolution,Indeterminate Duration
Sciences Po,"['Bertrand Badie', 'Marie-Françoise Durand']","Espace mondial, a French vision of Global studies",Indeterminate Duration
The Pennsylvania State University,['Dr. Todd S. Bacastow'],Geospatial Intelligence & the Geospatial Revolution,Indeterminate Duration
Sapienza University of Rome,['Francesco Paolo Fiore'],Early Renaissance Architecture in Italy: from Alberti to Bramante,Indeterminate Duration
The World Bank,"['Anca Maria Podpiera', 'Federica Ranghieri ', 'Kyla Wethli', 'Norman Loayza']",Risk and Opportunity: Managing Risk for Development,Indeterminate Duration
Johns Hopkins University,"['Jeffrey Kahn, PhD, MPH', 'Alan C Regenberg', 'Debra JH Mathews, PhD, MA', 'Joseph Ali']","Guinea Pigs, Heroes & Desperate Patients: The History & Ethics of Human Research",Indeterminate Duration
The Ohio State University,"['Susan Delagrange', 'Scott  Lloyd  DeWitt', 'Kay Halasek', 'Ben McCorkle', 'Cynthia Selfe']",Writing II: Rhetorical Composing,Indeterminate Duration
University of Wisconsin–Madison,['John Hawks'],Human Evolution: Past and Future,Indeterminate Duration
University of Michigan,"['Ralph Lydic, Ph.D.', 'Helen Baghdoyan, Ph.D.']","Sleep: Neurobiology, Medicine, and Society",Indeterminate Duration
University of Washington,['Barbara Endicott-Popovsky'],Information Security and Risk Management in Context,Indeterminate Duration
University of Minnesota,"['Dr. Margaret V. Root, DVM, PhD, DACT']",Canine Theriogenology for Dog Enthusiasts,Indeterminate Duration
Princeton University,['Andrew Conway'],Statistics One,Indeterminate Duration
"University of California, Santa Cruz",['Dr. Dominic William Massaro'],Children Acquiring Literacy Naturally,Indeterminate Duration
Icahn School of Medicine at Mount Sinai,"['Ravi Iyengar, PhD']",Introduction to Systems Biology,Indeterminate Duration
Stanford University,['Dr. Kristin Sainani'],Writing in the Sciences,Indeterminate Duration
University of Michigan,['J. Alex Halderman'],Securing Digital Democracy,Indeterminate Duration
Rice University,['James L. Smith'],The Art of Teaching History: A Global Conversation for Secondary Educators ,Indeterminate Duration
State University of New York,['Dr.  Margaret Anne Schedel'],Introduction to Computational Arts,Indeterminate Duration
Match Teacher Residency,['Mr.  Orin  Gutlerner'],Surviving Your Rookie Year of Teaching: 3 Key Ideas & High Leverage Techniques,Indeterminate Duration
Columbia University,"['Vincent Racaniello, Ph.D.']",How Viruses Cause Disease,Indeterminate Duration
University of London,"['David Winter', 'Laura Brammar']",Enhance Your Career and Employability Skills,Indeterminate Duration
University of Houston System,['Dr.  Andria T Young'],Applying Principles of Behavior in the K-12 Classroom,Indeterminate Duration
University of Pennsylvania,['Rebecca Stein'],Principles of Microeconomics,Indeterminate Duration
Georgia Institute of Technology,['Dr. Jim Rehg'],Healthcare Technologies to Assess Human Behavior for Health Management,Indeterminate Duration
"University of California, San Diego ","['Dr. Barbara Oakley', 'Dr. Terrence Sejnowski']",Learning How to Learn: Powerful mental tools to help you master tough subjects,Indeterminate Duration
Johns Hopkins University,"['Nancy Hodgson, PhD, RN', 'Laura Gitlin, PhD']","Living with Dementia: Impact on Individuals, Caregivers, Communities and Societies",Indeterminate Duration
The University of Tokyo,['Kiichi Fujiwara'],Conditions of War and Peace,Indeterminate Duration
Georgia Institute of Technology,['Dr. Karen Head'],First-Year Composition 2.0,Indeterminate Duration
University of Colorado Boulder & University of Colorado System,"['Professor Rob Knight', 'Dr.  Jessica L. Metcalf', 'Dr. Katherine R. Amato']",Gut Check: Exploring Your Microbiome,Indeterminate Duration
University of Houston System,"['Rebecca George', 'Dr. Jeffrey J Morgan']",Preparing for the AP* Calculus AB and BC Exams (Part 2 - Integral Calculus),Indeterminate Duration
Korea Advanced Institute of Science and Technology,"['YongKeun Park', 'Chulhee Choi', 'Hyeon-Jeong Suk']","Introduction to Light, Color, and Life",Indeterminate Duration
University of Pennsylvania,['Dr. Ed Dixon'],Auf Deutsch: Communicating in German Across Cultures ,Indeterminate Duration
Rutgers University,"['Prof. Daniel M. Ogilvie', 'Prof. Leonard W. Hamilton']",Soul Beliefs: Causes and Consequences,Indeterminate Duration
Johns Hopkins University,['Paul D. Miller'],Engaging Students through Cooperative Learning,Indeterminate Duration
University of Washington,"['David Wetherall', 'Arvind Krishnamurthy', 'John Zahorjan']",Computer Networks,Indeterminate Duration
"University of Maryland, College Park","['Raymond J. St. Leger', ""Tammatha O'Brien""]",Genes and the Human Condition (From Behavior to Biotechnology),Indeterminate Duration
Emory University,['Dr. Jacob L. Wright'],"The Bible's Prehistory, Purpose, and Political Future",Indeterminate Duration
Northwestern University,['Prof. Owen R. Youngman'],Understanding Media by Understanding Google,Indeterminate Duration
Northwestern University,['Todd D. Murphey'],Everything is the Same: Modeling Engineered Systems,Indeterminate Duration
"University of California, San Diego ",['Dr. Stephen Mayfield'],Our Energy Future,Indeterminate Duration
"New Teacher Center, Silicon Schools Fund & Clayton Christensen Institute","['Brian Greenberg', 'Rob Schwartz', 'Michael  Horn']",Blended Learning: Personalizing Education for Students,Indeterminate Duration
University of Florida,['Jennifer Clark'],"Economic Issues, Food & You",Indeterminate Duration
University of Pennsylvania,"['Peter  Frumkin', 'Mrs.  Russell  Willis  Taylor']",Arts and Culture Strategy,Indeterminate Duration
Emory University,['Peter Lacovara'],The Art and Archaeology of Ancient Nubia,Indeterminate Duration
The University of Melbourne,['Nilss Olekalns'],Principles of Macroeconomics,Indeterminate Duration
Emory University,['Steve Everett'],Introduction to Digital Sound Design,Indeterminate Duration
Peking University,"['Ge Gao ??, Ph.D.', 'Liping Wei ???, Ph.D.']",Bioinformatics: Introduction and Methods ?????: ?????,Indeterminate Duration
The University of Melbourne,"['Professor Jon Barnett', 'Professor John Freebairn', 'Dr. Maurizio Toscano', 'Professor Rachel Webster', 'David Karoly']",Climate Change,Indeterminate Duration
The Ohio State University,['Jacquelyn Meshelemiah'],Human Trafficking,Indeterminate Duration
National Geographic Society,['Kathleen  Schwille'],Water: The Essential Resource,Indeterminate Duration
University of Florida,"['Kevin A. Sabet, Ph.D.', 'Scott  Teitelbaum, MD', 'Michael F. Nias, J.D., MSW, LCSW']",The American Disease: Drugs and Drug Control in the USA,Indeterminate Duration
Stanford University,['Jennifer Widom'],Introduction to Databases,Indeterminate Duration
Princeton University,['Jeremy Adelman'],A History of the World since 1300,Indeterminate Duration
The University of Melbourne,['Professor Mark Hargreaves'],Exercise Physiology: Understanding the Athlete Within,Indeterminate Duration
University of Toronto,"['Jennifer Campbell', 'Paul Gries']",Learn to Program: The Fundamentals,Indeterminate Duration
École Polytechnique Fédérale de Lausanne,"['Rick Johnston', 'Sara Marks']",Introduction to Household Water Treatment and Safe Storage,Indeterminate Duration
University of Minnesota,"['Joseph A Konstan', 'Michael D Ekstrand']",Introduction to Recommender Systems,Indeterminate Duration
University of Pennsylvania,['Erick Hyde'],Applying to U.S. Universities,Indeterminate Duration
Stanford University,['Alex Aiken'],Compilers,Indeterminate Duration
Lund University,"['Dr. Kes McCormick', 'Dr. Luis Mundaca', 'Prof.  Oksana Mont', 'Prof.  Lena Neij', 'Dr. Thomas Lindhqvist', 'Dr.  Håkan Rodhe']",Greening the Economy: Lessons from Scandinavia,Indeterminate Duration
Georgia Institute of Technology,['Dr. Tom  Morley'],Games without Chance: Combinatorial Game Theory ,Indeterminate Duration
University of London,['Professor Adam Gearey'],English Common Law: Structure and Principles,Indeterminate Duration
Case Western Reserve University,['Michael Scharf'],Introduction to International Criminal Law,Indeterminate Duration
École Polytechnique Fédérale de Lausanne,"['Martin Odersky', 'Erik Meijer', 'Roland Kuhn']",Principles of Reactive Programming,Indeterminate Duration
University of Washington,['Barbara Endicott-Popovsky'],Building an Information Risk Management Toolkit,Indeterminate Duration
Northwestern University,['William J. White'],Power Onboarding,Indeterminate Duration
Johns Hopkins University,"['Karen R. Charron, BSN, MPH, CCRC', 'Amber Bickford Cox, MPH, CCRC']",Vaccine Trials: Methods and Best Practices,Indeterminate Duration
The Ohio State University,['Robert Bailey'],Technology and Ethics,Indeterminate Duration
Rice University,['John Steven Hutchinson'],Chemistry: Concept Development and Application,Indeterminate Duration
Stanford University,['Matthew O. Jackson'],Social and Economic Networks:  Models and Analysis,Indeterminate Duration
University of Pennsylvania,"['Dr.  Sarah Kagan, PhD, RN', 'Anne Shoemaker']",Growing Old Around the Globe,Indeterminate Duration
Rice University,['John Steven Hutchinson'],Chemistry: Concept Development and Application Part II,Indeterminate Duration
New Teacher Center,['Lisa Mount'],Common Core in Action: Literacy in the Content Areas- Exploring Literacy Design Collaborative Template Tasks,Indeterminate Duration
Princeton University,['Miguel A. Centeno'],Paradoxes of War,Indeterminate Duration
